artist_id,dim0,dim1
Clarice Falcão_2020-04-04,4.0547066,-6.683847
Mika_2020-04-04,3.4002466,-8.079833
Silva_2020-04-04,3.8062985,-6.7560506
The Lumineers_2020-04-04,1.4709017,-9.076155
Martin Garrix_2020-04-04,4.8297715,0.73864603
Mc Tha_2020-04-04,4.1580415,-7.0861907
Two Feet_2020-04-04,1.7485069,-8.455478
Djonga_2020-04-04,0.65444994,-0.2181027
City And Colour_2020-04-04,1.7002202,-9.251602
A Day To Remember_2020-04-04,3.5560832,-8.039179
Ashibah_2020-04-04,4.353263,-6.268779
Victor Lou_2020-04-04,2.8909574,-3.7669373
Chemical Surf_2020-04-04,4.6504617,-1.5604334
Boombox Cartel_2020-04-04,0.89733815,0.4213125
Denzel Curry_2020-04-04,0.8603267,-1.0262253
Madeon_2020-04-04,4.713382,0.38107973
Emicida_2020-04-04,0.6868615,-0.5190297
Wc No Beat feat Ludmilla feat Kevin O Chris feat Haikaiss feat Filipe Ret feat Pk feat Felp 22_2020-04-04,0.5730843,-0.5817605
509-E_2020-04-05,0.77956665,-0.018302219
Rashid_2020-04-05,0.64917374,-0.5354478
LP_2020-04-05,4.9753985,-7.047357
Vampire Weekend_2020-04-05,1.2776352,-9.250374
The Strokes_2020-04-05,0.22876133,-8.627749
Fresno_2020-04-05,0.4580744,-6.39327
Kali Uchis_2020-04-05,4.7901835,-7.6217284
Charli XCX_2020-04-05,5.0638695,-7.5949445
Gwen Stefani_2020-04-05,4.875669,-7.652879
Menores Atos_2020-04-05,1.5194774,-6.1419744
Wallows_2020-04-05,1.8795482,-8.54535
Pabllo Vittar_2020-04-05,4.354627,-7.6561193
Kacey Musgraves_2020-04-05,4.8435745,-7.6852093
Hayley Kiyoko_2020-04-05,4.8781676,-7.5631185
Fatnotronic_2020-04-05,2.9457495,-3.761157
Malifoo_2020-04-05,3.7367961,-0.7858181
Fancy Inc_2020-04-05,2.854872,-3.804301
Evokings_2020-04-05,2.929463,-3.7175033
Cat Dealers_2020-04-05,4.8130717,-1.5635161
Goldfish_2020-04-05,2.9733012,0.018674908
R3hab_2020-04-05,4.7868137,0.3866359
Illenium_2020-04-05,2.4144135,0.20499128
Armin Van Buuren_2020-04-05,3.6798398,0.18473274
BRVNKS_2019-04-05,4.159818,-6.6208467
Scalene_2019-04-05,3.1760967,-6.366547
Foals_2019-04-05,1.2071215,-9.128475
Tribalistas_2019-04-05,3.9836183,-7.110335
Arctic Monkeys_2019-04-05,0.7684153,-8.864912
Autoramas_2019-04-05,0.4963444,-6.3863096
Portugal. The Man_2019-04-05,1.0170238,-9.087837
The 1975_2019-04-05,1.5401214,-8.886316
Sam Smith_2019-04-05,3.3246326,-8.15468
Molho Negro_2019-04-05,0.8397782,-5.9423265
The Fever 333_2019-04-05,0.9486968,0.48701382
Troye Sivan_2019-04-05,3.0227797,-8.301737
St. Vincent_2019-04-05,4.712771,-6.988555
Macklemore_2019-04-05,0.9555078,-1.0357815
Maz_2019-04-05,1.2411345,-0.8847281
Elekfantz_2019-04-05,4.6884694,-1.4232678
Dashdot_2019-04-05,5.0980935,-0.84421194
Bruno Be_2019-04-05,5.0843205,-0.8441839
Loud Luxury_2019-04-05,5.1294727,0.72583854
Fisher_2019-04-05,2.6306202,-6.8684964
Zhu_2019-04-05,5.1349535,0.43431723
Tiësto_2019-04-05,3.5368078,0.13239953
Carne Doce_2019-04-06,3.6335375,-6.78256
Rashid_2019-04-06,0.61231863,-0.4467202
Snow Patrol_2019-04-06,0.20424578,-8.634269
Lenny Kravitz_2019-04-06,-0.5282882,-7.6717257
Kings of Leon_2019-04-06,0.42492396,-8.642912
Catavento_2019-04-06,2.2181964,-6.079373
Liniker e os Caramelows_2019-04-06,4.3828087,-7.737106
Silva_2019-04-06,3.7631667,-6.763685
Bring Me The Horizon_2019-04-06,0.261511,-8.048243
Post Malone_2019-04-06,0.8249992,-1.0510577
Duda Beat_2019-04-06,4.1996903,-7.27845
Lany_2019-04-06,3.1235063,-8.29164
Jain_2019-04-06,4.9736805,-7.5002904
Jorja Smith_2019-04-06,5.0835457,-7.6220107
Odesza_2019-04-06,2.8890376,0.26245543
Illusionize_2019-04-06,4.8341203,-1.3770254
Liu_2019-04-06,1.1408933,0.6789451
Dubdogz feat Vitor Kley_2019-04-06,3.7596297,-7.863748
Chemical Surf_2019-04-06,4.828169,-1.4840504
Gryffin_2019-04-06,5.2811856,0.35670397
Valentino Khan_2019-04-06,4.176247,0.58060074
Vintage Culture_2019-04-06,4.9908957,-0.9645598
Kungs_2019-04-06,5.35831,0.17033716
Steve Aoki_2019-04-06,3.7767327,0.38915554
Aláfia_2019-04-07,4.036619,-6.1349607
BK'_2019-04-07,0.65610427,-0.079727076
The Struts_2019-04-07,1.2340946,-8.271096
Greta Van Fleet_2019-04-07,0.93932116,-7.191271
Kendrick Lamar_2019-04-07,0.8906664,-1.1269977
E a Terra Nunca Me Pareceu Tão Distante_2019-04-07,0.8665696,-5.9216266
The Inspector Cluzo_2019-04-07,0.7992603,-7.2996826
"Gabriel,O Pensador_2019-04-07",2.3445997,-4.3479834
Interpol_2019-04-07,0.50411135,-8.82521
Twenty One Pilots_2019-04-07,2.3514419,-8.370643
Luiza Lian_2019-04-07,4.6876483,-6.168656
Letrux_2019-04-07,4.327433,-7.3441076
Iza_2019-04-07,4.3134403,-7.4879627
Rufus Du Sol_2019-04-07,2.9750226,0.18089004
Years & Years_2019-04-07,2.7858605,-8.31899
Pontifexx_2019-04-07,3.783135,-7.864889
KVSH_2019-04-07,2.878488,-3.777484
Groove Delight_2019-04-07,4.765687,-1.4209563
Bhaskar_2019-04-07,4.9132953,-1.2196317
Don Diablo_2019-04-07,4.434982,0.2544195
RL Grime_2019-04-07,1.0503145,0.5977989
Dimitri Vegas and Like Mike_2019-04-07,2.949452,0.07877572
Nem Liminha Ouviu_2018-03-23,0.8207324,-5.8721495
Selvagens à Procura de Lei_2018-03-23,2.325831,-6.0390997
Rincon Sapiência_2018-03-23,0.6321519,-0.22465797
Spoon_2018-03-23,0.51466674,-8.858594
Chance the Rapper_2018-03-23,0.838896,-1.1156017
Red Hot Chili Peppers_2018-03-23,-0.45354995,-7.6895165
Luneta Mágica_2018-03-23,2.2524765,-7.4894814
Vanguart_2018-03-23,2.199714,-6.076215
Volbeat_2018-03-23,0.6470196,-7.2851434
Royal Blood_2018-03-23,0.9915717,-7.636754
LCD SoundSystem_2018-03-23,2.884777,-0.42709962
Plutão já foi planeta_2018-03-23,3.926542,-6.552993
Mallu Magalhães_2018-03-23,4.1965427,-6.562627
Oh Wonder_2018-03-23,5.0821724,-6.9292006
Zara Larsson_2018-03-23,4.9484463,-7.662649
Mac DeMarco_2018-03-23,2.2293494,-9.052165
Sevenn_2018-03-23,2.9690552,-3.6815815
Kyle Watson_2018-03-23,5.3811474,0.21401656
FTampa_2018-03-23,4.6221566,-1.6405221
Shiba San_2018-03-23,5.153505,0.44184452
What So Not_2018-03-23,1.3023225,0.7255503
Alison Wonderland_2018-03-23,5.3351026,-6.889175
DVBBS_2018-03-23,4.500854,0.5426649
Galantis_2018-03-23,4.8572564,0.78922224
Alok_2018-03-23,3.984879,-1.1887795
Tagore_2018-03-24,2.0163105,-6.719402
Ego Kill Talent_2018-03-24,1.3733932,-6.1714735
Anderson Paak_2018-03-24,1.4634289,-1.1050475
The National_2018-03-24,0.6810329,-8.92393
Pearl Jam_2018-03-24,-0.42504898,-7.743922
Ventre_2018-03-24,3.2902803,-6.4868655
Liniker e os Caramelows_2018-03-24,4.301559,-7.66699
Kaleo_2018-03-24,1.0476651,-7.681376
David Byrne_2018-03-24,-0.5115367,-7.8245506
Imagine Dragons_2018-03-24,1.5758412,-8.689262
Jesuton_2018-03-24,4.247735,-7.3280387
Tash Sultana_2018-03-24,4.767849,-6.790935
O Terno_2018-03-24,2.2642915,-6.0913973
Mano Brown_2018-03-24,0.76016545,0.16915873
Kygo_2018-03-24,4.908249,0.56354046
Devochka_2018-03-24,2.0919924,-7.109126
Gustavo Mota_2018-03-24,5.1010747,-0.983109
Whethan_2018-03-24,2.7746959,-8.404874
Louis the Child_2018-03-24,3.2501047,0.28752676
Mac Miller_2018-03-24,0.8438429,-1.1990278
Nghtmre_2018-03-24,1.1469512,0.66110605
Deorro_2018-03-24,5.261904,0.33352083
Yellow Claw_2018-03-24,1.319471,0.5250123
DJ Snake_2018-03-24,1.4243426,0.60691947
Braza_2018-03-25,0.67132705,-0.3285222
Milky Chance_2018-03-25,1.9975154,-9.166763
The Neighbourhood_2018-03-25,1.817303,-8.954774
Liam Gallagher_2018-03-25,2.4589038,-8.074989
The Killers_2018-03-25,0.55866003,-8.670655
"Francisco, el hombre_2018-03-25",2.099262,-7.1023417
Sofi Tukker_2018-03-25,5.1780376,-6.971539
Metronomy_2018-03-25,2.8498728,-0.11443659
Khalid_2018-03-25,2.6953263,-7.7080307
Lana Del Rey_2018-03-25,4.776746,-7.210973
Mahmundi_2018-03-25,4.0448017,-7.01432
Tiê_2018-03-25,4.1369696,-6.7613263
Tropkillaz_2018-03-25,0.73033935,0.19604808
Aurora_2018-03-25,4.960735,-7.468184
Wiz Khalifa_2018-03-25,0.99123293,-1.0823396
Jørd_2018-03-25,2.9298985,-3.7404768
Jetlag_2018-03-25,4.2365875,-1.9755627
Cat Dealers_2018-03-25,4.7872095,-1.487558
Thomas Jack_2018-03-25,5.4005394,0.17323184
Cheat Codes_2018-03-25,4.8577046,0.7646035
Alan Walker_2018-03-25,4.1377664,0.64404917
Dillon Francis_2018-03-25,4.1958714,0.5221683
Hardwell_2018-03-25,5.157679,0.26659843
